,address,city_province,std_unit_number,std_street_number,std_street_name,std_city,std_province,std_postal_code,std_full_address
0,930 Amberdale Cres,Kingston ON K7M 6V1,,930,Amberdale Cres,Kingston,ON,K7M 6V1,"930, Amberdale Cres, Kingston, ON, K7M 6V1"
1,771 Ashwood Dr,Kingston ON K7M 6X7,,771,Ashwood Dr,Kingston,ON,K7M 6X7,"771, Ashwood Dr, Kingston, ON, K7M 6X7"
2,995 Amberdale Cres,Kingston ON K7M 6X6,,995,Amberdale Cres,Kingston,ON,K7M 6X6,"995, Amberdale Cres, Kingston, ON, K7M 6X6"
3,64 Deermist Dr,Porters Lake NS B3E 1P3,,64,Deermist Dr,Porters Lake,NS,B3E 1P3,"64, Deermist Dr, Porters Lake, NS, B3E 1P3"
4,85 Oceanic Dr,East Lawrencetown NS B2Z 1T6,,85,Oceanic Dr,East Lawrencetown,NS,B2Z 1T6,"85, Oceanic Dr, East Lawrencetown, NS, B2Z 1T6"
5,270 Quinlan Dr,Head of Jeddore NS B0J 1P0,,270,Quinlan Dr,Head of Jeddore,NS,B0J 1P0,"270, Quinlan Dr, Head of Jeddore, NS, B0J 1P0"
6,6 Marshall Ave,Ayr ON N0B 1E0,,6,Marshall Ave,Ayr,ON,N0B 1E0,"6, Marshall Ave, Ayr, ON, N0B 1E0"
7,3219 Roseville Rd,Ayr ON N0B 1E0,,3219,Roseville Rd,Ayr,ON,N0B 1E0,"3219, Roseville Rd, Ayr, ON, N0B 1E0"
8,13 James Crt,Heidelberg ON N0B 2M1,,13,James Crt,Heidelberg,ON,N0B 2M1,"13, James Crt, Heidelberg, ON, N0B 2M1"
9,48 Stonewalk Dr,Kemptville ON K0G 1J0,,48,Stonewalk Dr,Kemptville,ON,K0G 1J0,"48, Stonewalk Dr, Kemptville, ON, K0G 1J0"
10,36 Stonewalk Dr,Kemptville ON K0G 1J0,,36,Stonewalk Dr,Kemptville,ON,K0G 1J0,"36, Stonewalk Dr, Kemptville, ON, K0G 1J0"
11,56 Stonewalk Dr,Kemptville ON K0G 1J0,,56,Stonewalk Dr,Kemptville,ON,K0G 1J0,"56, Stonewalk Dr, Kemptville, ON, K0G 1J0"
12,801-105 Dunbrack St,Halifax NS B3M 3G7,801,105,Dunbrack St,Halifax,NS,B3M 3G7,"Unit 801, 105, Dunbrack St, Halifax, NS, B3M 3G7"
13,210-40 Regency Park Dr,Halifax NS B3S 1L4,210,40,Regency Park Dr,Halifax,NS,B3S 1L4,"Unit 210, 40, Regency Park Dr, Halifax, NS, B3S 1L4"
14,313-79 Bedros Lane,Halifax NS B3M 4X5,313,79,Bedros Ln,Halifax,NS,B3M 4X5,"Unit 313, 79, Bedros Ln, Halifax, NS, B3M 4X5"
15,123 Crestwood Pl,Dartmouth NS B2V 2P5,,123,Crestwood Pl,Dartmouth,NS,B2V 2P5,"123, Crestwood Pl, Dartmouth, NS, B2V 2P5"
16,38 Deerbrooke Dr,Dartmouth NS B2V 1W3,,38,Deerbrooke Dr,Dartmouth,NS,B2V 1W3,"38, Deerbrooke Dr, Dartmouth, NS, B2V 1W3"
17,18 Becks Way,Dartmouth NS B2V 2C3,,18,Becks Way,Dartmouth,NS,B2V 2C3,"18, Becks Way, Dartmouth, NS, B2V 2C3"
18,128 Donegall Dr,East York ON M4G 3G8,,128,Donegall Dr,East York,ON,M4G 3G8,"128, Donegall Dr, East York, ON, M4G 3G8"
19,142 Donlea Dr,East York ON M4G 2M8,,142,Donlea Dr,East York,ON,M4G 2M8,"142, Donlea Dr, East York, ON, M4G 2M8"
20,138 Banff Rd,Toronto ON M4P 2P5,,138,Banff Rd,Toronto,ON,M4P 2P5,"138, Banff Rd, Toronto, ON, M4P 2P5"
21,655 Allied Mews,Stittsville ON K2S 3A1,,655,Allied Mews,Stittsville,ON,K2S 3A1,"655, Allied Mews, Stittsville, ON, K2S 3A1"
22,514 Triangle St,Stittsville ON K2V 0M8,,514,Triangle St,Stittsville,ON,K2V 0M8,"514, Triangle St, Stittsville, ON, K2V 0M8"
23,225 Lift Lane,Stittsville ON K2V 0M7,,225,Lift Ln,Stittsville,ON,K2V 0M7,"225, Lift Ln, Stittsville, ON, K2V 0M7"
24,306-79 Bedros Lane,Halifax NS B3M 4X5,306,79,Bedros Ln,Halifax,NS,B3M 4X5,"Unit 306, 79, Bedros Ln, Halifax, NS, B3M 4X5"
25,401-11 Springvale Ave,Halifax NS B3N 0A3,401,11,Springvale Ave,Halifax,NS,B3N 0A3,"Unit 401, 11, Springvale Ave, Halifax, NS, B3N 0A3"
26,111-11 Springvale Ave,Halifax NS B3N 0A3,111,11,Springvale Ave,Halifax,NS,B3N 0A3,"Unit 111, 11, Springvale Ave, Halifax, NS, B3N 0A3"
27,118 Sandpiper Pk,Chestermere AB T1X 1Y8,,118,Sandpiper Pk,Chestermere,AB,T1X 1Y8,"118, Sandpiper Pk, Chestermere, AB, T1X 1Y8"
28,19 Sandpiper Bend,Chestermere AB T1X 2S6,,19,Sandpiper Bend,Chestermere,AB,T1X 2S6,"19, Sandpiper Bend, Chestermere, AB, T1X 2S6"
29,109 Kinniburgh Cove,Chestermere AB T1X 0Y6,,109,Kinniburgh Cove,Chestermere,AB,T1X 0Y6,"109, Kinniburgh Cove, Chestermere, AB, T1X 0Y6"
30,58 Blind Bay Dr,Blind Bay NS B3Z 4C1,,58,Blind Bay Dr,Blind Bay,NS,B3Z 4C1,"58, Blind Bay Dr, Blind Bay, NS, B3Z 4C1"
31,401 Viewmount Dr,Head of St Margarets Bay NS B3Z 2G4,,401,Viewmount Dr,Head of St Margarets Bay,NS,B3Z 2G4,"401, Viewmount Dr, Head of St Margarets Bay, NS, B3Z 2G4"
32,2 Crouchers Point Rd,Glen Haven NS B3Z 2W4,,2,Crouchers Point Rd,Glen Haven,NS,B3Z 2W4,"2, Crouchers Point Rd, Glen Haven, NS, B3Z 2W4"
33,74 Gianmarco Way,Maple ON L6A 3J2,,74,Gianmarco Way,Maple,ON,L6A 3J2,"74, Gianmarco Way, Maple, ON, L6A 3J2"
34,20 Del Francesco Way,Maple ON L6A 3J6,,20,Del Francesco Way,Maple,ON,L6A 3J6,"20, Del Francesco Way, Maple, ON, L6A 3J6"
35,3 Blackthorn Dr,Maple ON L6A 3C3,,3,Blackthorn Dr,Maple,ON,L6A 3C3,"3, Blackthorn Dr, Maple, ON, L6A 3C3"
36,428 Heddas Way,Fall River NS B2T 0M2,,428,Heddas Way,Fall River,NS,B2T 0M2,"428, Heddas Way, Fall River, NS, B2T 0M2"
37,158 Eaglewood Dr,Bedford NS B4A 3B2,,158,Eaglewood Dr,Bedford,NS,B4A 3B2,"158, Eaglewood Dr, Bedford, NS, B4A 3B2"
38,107 Ahmadi Cres,Bedford NS B4A 4E5,,107,Ahmadi Cres,Bedford,NS,B4A 4E5,"107, Ahmadi Cres, Bedford, NS, B4A 4E5"
39,868 Roshan Dr,Kingston ON K7P 0B2,,868,Roshan Dr,Kingston,ON,K7P 0B2,"868, Roshan Dr, Kingston, ON, K7P 0B2"
40,1249 Carfa Cres,Kingston ON K7P 0M7,,1249,Carfa Cres,Kingston,ON,K7P 0M7,"1249, Carfa Cres, Kingston, ON, K7P 0M7"
41,891 Safari Dr,Kingston ON K7M 6W2,,891,Safari Dr,Kingston,ON,K7M 6W2,"891, Safari Dr, Kingston, ON, K7M 6W2"
42,209 Glen Arbour Way,Hammonds Plains NS B4B 1T5,,209,Glen Arbour Way,Hammonds Plains,NS,B4B 1T5,"209, Glen Arbour Way, Hammonds Plains, NS, B4B 1T5"
43,1 Virginia Dr,Hammonds Plains NS B4B 1S5,,1,Virginia Dr,Hammonds Plains,NS,B4B 1S5,"1, Virginia Dr, Hammonds Plains, NS, B4B 1S5"
44,1693 White Hills Run,Hammonds Plains NS B4B 1W1,,1693,White Hills Run,Hammonds Plains,NS,B4B 1W1,"1693, White Hills Run, Hammonds Plains, NS, B4B 1W1"
45,142 Chenoa Way,Nepean ON K2J 0W8,,142,Chenoa Way,Nepean,ON,K2J 0W8,"142, Chenoa Way, Nepean, ON, K2J 0W8"
46,100 Brambling Way,Nepean ON K2J 5V3,,100,Brambling Way,Nepean,ON,K2J 5V3,"100, Brambling Way, Nepean, ON, K2J 5V3"
47,334 Shadehill Cres,Nepean ON K2J 0L6,,334,Shadehill Cres,Nepean,ON,K2J 0L6,"334, Shadehill Cres, Nepean, ON, K2J 0L6"
48,3948 Vandorf Siderd,Stouffville ON L4A 4K3,,3948,Vandorf Siderd,Stouffville,ON,L4A 4K3,"3948, Vandorf Siderd, Stouffville, ON, L4A 4K3"
49,11 Union St,Stouffville ON L0H 1G0,,11,Union St,Stouffville,ON,L0H 1G0,"11, Union St, Stouffville, ON, L0H 1G0"
50,9 Elias Snider Crt,Stouffville ON L4A 2G3,,9,Elias Snider Crt,Stouffville,ON,L4A 2G3,"9, Elias Snider Crt, Stouffville, ON, L4A 2G3"
51,133 William St,Kingston ON K7L 2C7,,133,William St,Kingston,ON,K7L 2C7,"133, William St, Kingston, ON, K7L 2C7"
52,297 University Ave,Kingston ON K7L 3R3,,297,University Ave,Kingston,ON,K7L 3R3,"297, University Ave, Kingston, ON, K7L 3R3"
53,368 Barrie St,Kingston ON K7K 3T3,,368,Barrie St,Kingston,ON,K7K 3T3,"368, Barrie St, Kingston, ON, K7K 3T3"
54,57 Taleen Dr,Lower Sackville NS B4C 4A5,,57,Taleen Dr,Lower Sackville,NS,B4C 4A5,"57, Taleen Dr, Lower Sackville, NS, B4C 4A5"
55,4 Victoria Dr,Lower Sackville NS B4C 4C3,,4,Victoria Dr,Lower Sackville,NS,B4C 4C3,"4, Victoria Dr, Lower Sackville, NS, B4C 4C3"
56,9 Penstock Crt,Middle Sackville NS B4E 2L6,,9,Penstock Crt,Middle Sackville,NS,B4E 2L6,"9, Penstock Crt, Middle Sackville, NS, B4E 2L6"
57,1059 Cornerstone St NE,Calgary AB T3N 1G6,,1059,Cornerstone St NE,Calgary,AB,T3N 1G6,"1059, Cornerstone St NE, Calgary, AB, T3N 1G6"
58,312 Redstone Ave NE,Calgary AB T3N 1M8,,312,Redstone Ave NE,Calgary,AB,T3N 1M8,"312, Redstone Ave NE, Calgary, AB, T3N 1M8"
59,90 Corner Ridge Mews NE,Calgary AB T3N 1X4,,90,Corner Ridge Mews NE,Calgary,AB,T3N 1X4,"90, Corner Ridge Mews NE, Calgary, AB, T3N 1X4"
60,523 35A St NW,Calgary AB T2N 3A1,,523,35A St NW,Calgary,AB,T2N 3A1,"523, 35A St NW, Calgary, AB, T2N 3A1"
61,2425 3 Ave NW,Calgary AB T2N 0L2,,2425,3 Ave NW,Calgary,AB,T2N 0L2,"2425, 3 Ave NW, Calgary, AB, T2N 0L2"
62,2536 4 Ave NW,Calgary AB T2N 0P4,,2536,4 Ave NW,Calgary,AB,T2N 0P4,"2536, 4 Ave NW, Calgary, AB, T2N 0P4"
63,3116 Winspear Cres SW,Edmonton AB T6X 1P3,,3116,Winspear Cres SW,Edmonton,AB,T6X 1P3,"3116, Winspear Cres SW, Edmonton, AB, T6X 1P3"
64,716 40 St SW,Edmonton AB T6X 2G4,,716,40 St SW,Edmonton,AB,T6X 2G4,"716, 40 St SW, Edmonton, AB, T6X 2G4"
65,1253 Adamson Dr SW,Edmonton AB T6W 1Z4,,1253,Adamson Dr SW,Edmonton,AB,T6W 1Z4,"1253, Adamson Dr SW, Edmonton, AB, T6W 1Z4"
66,1959 Montclair Ave,Orléans ON K1W 1H9,,1959,Montclair Ave,Orléans,ON,K1W 1H9,"1959, Montclair Ave, Orléans, ON, K1W 1H9"
67,415 Hepatica Way,Orléans ON K4A 1G3,,415,Hepatica Way,Orléans,ON,K4A 1G3,"415, Hepatica Way, Orléans, ON, K4A 1G3"
68,156 Aquarium Ave,Orléans ON K4A 1L1,,156,Aquarium Ave,Orléans,ON,K4A 1L1,"156, Aquarium Ave, Orléans, ON, K4A 1L1"
69,1606-1111 10 St SW,Calgary AB T2R 1E3,1606,1111,10 St SW,Calgary,AB,T2R 1E3,"Unit 1606, 1111, 10 St SW, Calgary, AB, T2R 1E3"
70,3205-930 6 Ave SW,Calgary AB T2P 1J3,3205,930,6 Ave SW,Calgary,AB,T2P 1J3,"Unit 3205, 930, 6 Ave SW, Calgary, AB, T2P 1J3"
71,Unit 2602 - 510 6 Avenue SE,"Calgary , Alberta, T2G 0H1",2602,510,6 Avenue SE,"Calgary , ",AB,T2G 0H1,"Unit 2602, 510, 6 Avenue SE, Calgary , , AB, T2G 0H1"
72,3018 Arthurs Cres SW,Edmonton AB T6W 2H9,,3018,Arthurs Cres SW,Edmonton,AB,T6W 2H9,"3018, Arthurs Cres SW, Edmonton, AB, T6W 2H9"
73,146 Allard Link SW,Edmonton AB T6W 2J1,,146,Allard Link SW,Edmonton,AB,T6W 2J1,"146, Allard Link SW, Edmonton, AB, T6W 2J1"
74,645 Allard Blvd SW,Edmonton AB T6W 2G3,,645,Allard Blvd SW,Edmonton,AB,T6W 2G3,"645, Allard Blvd SW, Edmonton, AB, T6W 2G3"
75,283 Falsetto St,Orléans ON K1W 0S4,,283,Falsetto St,Orléans,ON,K1W 0S4,"283, Falsetto St, Orléans, ON, K1W 0S4"
76,783 Percifor Way,Orléans ON K1W 0E5,,783,Percifor Way,Orléans,ON,K1W 0E5,"783, Percifor Way, Orléans, ON, K1W 0E5"
77,178 Joshua St,Orléans ON K1W 0C4,,178,Joshua St,Orléans,ON,K1W 0C4,"178, Joshua St, Orléans, ON, K1W 0C4"
78,924 15 Ave NE,Calgary AB T2E 1J1,,924,15 Ave NE,Calgary,AB,T2E 1J1,"924, 15 Ave NE, Calgary, AB, T2E 1J1"
79,632 12 Ave NE,Calgary AB T2E 1B1,,632,12 Ave NE,Calgary,AB,T2E 1B1,"632, 12 Ave NE, Calgary, AB, T2E 1B1"
80,3310 Centre St NE,Calgary AB T2E 2X8,,3310,Centre St NE,Calgary,AB,T2E 2X8,"3310, Centre St NE, Calgary, AB, T2E 2X8"
81,2207-950 Arbour Lake Rd NW,Calgary AB T3G 5B3,2207,950,Arbour Lake Rd NW,Calgary,AB,T3G 5B3,"Unit 2207, 950, Arbour Lake Rd NW, Calgary, AB, T3G 5B3"
82,215-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,215,88,Arbour Lake Rd NW,Calgary,AB,T3G 0C2,"Unit 215, 88, Arbour Lake Rd NW, Calgary, AB, T3G 0C2"
83,206-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,206,88,Arbour Lake Rd NW,Calgary,AB,T3G 0C2,"Unit 206, 88, Arbour Lake Rd NW, Calgary, AB, T3G 0C2"
84,4 Rockcliff Pt NW,Calgary AB T3G 5Z4,,4,Rockcliff Pt NW,Calgary,AB,T3G 5Z4,"4, Rockcliff Pt NW, Calgary, AB, T3G 5Z4"
85,61 Rockford Rd NW,Calgary AB T3G 0E1,,61,Rockford Rd NW,Calgary,AB,T3G 0E1,"61, Rockford Rd NW, Calgary, AB, T3G 0E1"
86,1 Rock Lake Pt NW,Calgary AB T3G 0E9,,1,Rock Lake Pt NW,Calgary,AB,T3G 0E9,"1, Rock Lake Pt NW, Calgary, AB, T3G 0E9"
87,216-100 Auburn Meadows Manor SE,Calgary AB T3M 3H2,216,100,Auburn Meadows Manor SE,Calgary,AB,T3M 3H2,"Unit 216, 100, Auburn Meadows Manor SE, Calgary, AB, T3M 3H2"
88,411-25 Auburn Meadows Ave SE,Calgary AB T3M 2L3,411,25,Auburn Meadows Ave SE,Calgary,AB,T3M 2L3,"Unit 411, 25, Auburn Meadows Ave SE, Calgary, AB, T3M 2L3"
89,105-22 Auburn Bay Link SE,Calgary AB T3M 1Z8,105,22,Auburn Bay Link SE,Calgary,AB,T3M 1Z8,"Unit 105, 22, Auburn Bay Link SE, Calgary, AB, T3M 1Z8"
90,20 Creekside Way,Mill Cove NS B0J 1T0,,20,Creekside Way,Mill Cove,NS,B0J 1T0,"20, Creekside Way, Mill Cove, NS, B0J 1T0"
91,102 Deeridge Rd,Black Point NS B0J 1T0,,102,Deeridge Rd,Black Point,NS,B0J 1T0,"102, Deeridge Rd, Black Point, NS, B0J 1T0"
92,5296 Highway 329,Blandford NS B0J 1T0,,5296,Highway 329,Blandford,NS,B0J 1T0,"5296, Highway 329, Blandford, NS, B0J 1T0"
93,904-71 Simcoe St,Toronto ON M5J 2S9,904,71,Simcoe St,Toronto,ON,M5J 2S9,"Unit 904, 71, Simcoe St, Toronto, ON, M5J 2S9"
94,3103-126 Simcoe St,Toronto ON M5H 4E6,3103,126,Simcoe St,Toronto,ON,M5H 4E6,"Unit 3103, 126, Simcoe St, Toronto, ON, M5H 4E6"
95,2805-361 Front St W,Toronto ON M5V 3R5,2805,361,Front St W,Toronto,ON,M5V 3R5,"Unit 2805, 361, Front St W, Toronto, ON, M5V 3R5"
96,57 Morenz Terr,Kanata ON K2K 3H2,,57,Morenz Terr,Kanata,ON,K2K 3H2,"57, Morenz Terr, Kanata, ON, K2K 3H2"
97,90 Kinmount Pvt,Kanata ON K2T 1K1,,90,Kinmount Pvt,Kanata,ON,K2T 1K1,"90, Kinmount Pvt, Kanata, ON, K2T 1K1"
98,41 Coulson Crt,Kanata ON K2K 2Z5,,41,Coulson Crt,Kanata,ON,K2K 2Z5,"41, Coulson Crt, Kanata, ON, K2K 2Z5"
99,1 Partridge Nest Dr,Mineville NS B2Z 1J8,,1,Partridge Nest Dr,Mineville,NS,B2Z 1J8,"1, Partridge Nest Dr, Mineville, NS, B2Z 1J8"
